Zhongli: "Lastly, this strain is quite the recluse. Unlike its exuberant cousins, flowers and foliage are minimal, and when in season, it has a subtle yet enduring scent. It was first discovered by the ancients when they scaled the mountains in search of theadepti."
Zhongli: "Silk Flowers have all but disappeared from the wild today, due to geographical changes over Liyue's history. Most are now grown by horticulturalists."
Bolai,Wow. A true connoisseur. Most of that was news even to me!
Zhongli: I possess but a smattering of trivial knowledge. My traveler friend is the one to watch — they are on track to set foot in every corner of the world.
Traveller: What's so impressive about that...
Traveller: I'm still an ignoramus on horticulture...
Paimon: "Mr. Zhongli:  you're way too humble... So which Silk Flower did you want, anyway?"
Zhongli: "I'll take them all, boss."
Paimon: ...Again!?
Zhongli: "How can I put this... When purchasing opera tickets, it is natural to decide based on which singer has the most melodious voice. The same logic applies when purchasing a pet bird."
Zhongli: But this Silk Flower purchase is not an analogous case. The same logic does not apply.
Zhongli: Perhaps you don't know. Tradition states that we should decoct perfume from different sub-species of Silk Flower when making an offering to a Statue of The Seven.Rex Lapiswill then make his own choice between the scents.
Zhongli: "Like several other tedious and complicated traditions, this one has become simplified over time."
Zhongli: "But this is the only Rite of Parting to take place for one of The Seven in three thousand seven hundred years. As such, I do think we should honor tradition down to the last detail in this case."
Zhongli: "Now that's settled, a question... Ahem. Do you have any Mora on you?"
Paimon: "You forgot to bring money again!? Grr, Zhongli:!!!"
Traveller: I see a pattern emerging here.
Traveller: "By this point, I'd be more surprised if he'd remembered."
Bolai,If I may interject... Did I hear you say that these flowers are to be an offering to the Lord of Geo himself?
Paimon: Yes... in a sense.
Bolai,"Gosh. Well, why didn't you say so? I heard the awful news about what happened at this year's Rite of Descension..."
Bolai,It would be bad luck to say it out loud. But I've been worried about our dear Lord ever since... I'm worried that everything I've heard is true...
Bolai,"Since these flowers will be used to glorify our Lord, they're free of charge. Just don't forget to pass on my regards."
Paimon: Are you serious?
Bolai,Why wouldn't I be? I would be nobody if not for Rex Lapis!
Bolai,"If he hadn't written those poems in praise of my wares, they'd only be worth a fraction of what I can sell them for today..."
Paimon: Huh... So much folklore here revolves around Liyue's deity making cameo appearances in support of local businesses...
Zhongli: "...Thank you, boss. I think I speak for all of us when I say that your generosity has saved our skins."
Paimon: "Our" skins? You were the one who forgot to bring money!
Bolai,Please. It's the least I could do.
Paimon: "So now that we've got the flowers, how do we make the perfume?"
Zhongli: "Ideally, with the help of an expert. Unfortunately, none of my acquaintances have personal experience in the art of decoction..."
Paimon: Talk about first-world problems...
Zhongli: "Hence, I need you to help by asking around in the city. Try the common folk, especially women."
Paimon: So this time we get to go around town looking for nice-smelling ladies to talk to? Paimon: likes this job!
Zhongli: I will wait for you near the Statue of The Seven. Meet me there when the perfume is ready.
Paimon: Maybe we can find some good candidates at the Adventurers' Guild?
Paimon: "Let's askLan. She's master of the Liyue branch, right?"
Bolai,"May the rumors be false, and Rex Lapis be well..."
Paimon: Lan! We need to ask you for a favor...
Lan,"I stopped accepting commissions along time ago. Sorry, you two, but you'll just have to ask another adventurer."
Paimon: "Oh, it's not that kind of favor. It's just a teeny-tiny thing..."
Traveller: Do you know how to make perfume?
Lan,...Wow. Just wow.
Lan,Do I look like the kind of girl who wears perfume to you? I think you're underestimating the kind of person I am...
Traveller: You smell great.
Lan,...Wow. Just wow.
Lan,I am just going to assume that you are either joking or being sarcastic.
Lan,"To be fair, I put a lot of effort into my appearance for someone who spends all their time in the great outdoors. But ""I smell great""? Don't be ridiculous."
Paimon: "Well, Paimon: thinks you smell amazing! So come on Lan, what's your secret? If not perfume?"
Lan,"Now that you mention it... Yes, there is something. What is that scent?"
Lan,"Oh, it must be from theQingxinflowers I picked on the way back. I forgot I still had them with me..."
Paimon: "Aha! The truth is out, Lan's got a soft spot for wildflowers!"
Lan,"Ahh... No, they were for medicinal use only."
Lan,"Anyway, this is a pointless conversation. If you want to know about perfume, try talking toQiming."
Paimon: "The fortune teller, right? Paimon: remembers she smells pretty good!"
Paimon: "Thanks, Lan! See you around~"
Lan,Oh? Not going to look for Qiming yet?
Qiming,Hello. How may I help?
Paimon: We've come to ask you a question...
Traveller: Do you know how to make perfume?
Qiming,"Perfume? I rarely think to use it, let alone about how to make it myself."
Traveller: You smell great.
Qiming,Ah... I...
Qiming,"...Sorry, you caught me off guard. Most people aren't so direct."
Qiming,I think we need more time to get to know each other...
Paimon: Uh... We just wanted to know what perfume you normally use.
Qiming,Oh... Ahem. Well. I don't actually use any.
Qiming,"That said, some of the cosmetics I use are scented. Perhaps that's the cause of this confusion."
Qiming,"Since I usually set up my stall by the docks, I avoid perfume like the plague. BecauseCelestiaforbid those lusty sailors catch a whiff and come hunting for the source!"
Paimon: That's the worst thing Paimon:'s heard all day.
Qiming,"While we're on the subject, have you never heard anyone mention Ying'er's homemade perfume?"
Paimon: "Ying'er... Oh, as inScent of SpringYing'er?"
Qiming,"Yes, that's her. Many a rich family's daughter has gotten her to make perfume for them. Apparently, her homemade product is better than anything you'll find on the market."
Paimon: "Great, this is just the intel we need! Finally, we're getting somewhere."
Qiming,"If you have the time, come and have your fortune told down by the harbor. I'll give you a special price."
Ying'er,Well hello... You found me at last. I've been waiting for you.
Paimon: What? How did you know we were coming?
Ying'er,"Oh, I heard a rumor about a couple who were snooping around town looking for a sweet-smelling lady..."
Ying'er,"Actually, I was starting to worry you wouldn't find me. This is the ultimate test of my appeal, after all..."
Paimon: "Snooping around"? Why are you making it out like we're bad people?
Ying'er,What can I say? People love to talk... Maybe you ought to be more discreet in the future if you don't want word to get around.
Ying'er,"Relax... I know what you're here. You want to get your hands on my homemade perfume, don't you? What kind would you like?"
Traveller: A bespoke triple-Silk-flower variety...
Traveller: Whichever one you're wearing.
Ying'er,"Heh... I'm not wearing any, darling."
Ying'er,"Could it be that you've been bewitched by my natural scent? If so, I'm afraid it's one of a kind..."
Paimon: "Whatever this is, you need to snap out of it right now! (Traveler), Hand her the Silk Flowers!"
Ying'er,Three in one go... My goodness.
Ying'er,"You have extreme tastes for someone your age. Maybe the rumors I heard were true after all. You're on the prowl and need some sweet-smelling ammunition, is that it?"
Traveller: It's for Rex Lapis.
Ying'er,"Tsk... Is that the best you could come up with? Even if you were genuinely offering perfume to a deity, that doesn't explain why you'd need three kinds. Sorry, you story just doesn't hold water!"
Paimon: Zhongli: was right... People don't remember this tradition anymore.
Traveller: You got a problem with that?
Ying'er,"Ay yai yai, who let this tiger out of the cage!? Well, with your looks, who can blame you? If you've got it, flaunt it."
Ying'er,"As one of my favorite poems goes, ""Oh, cherry tree, begrudge not thy blossoms as they are deflowered in the spring, for come winter, even thy sturdiest wood shall wither."""
Paimon: That went over Paimon:'s head a little...
Ying'er,"In short, I'm happy to help. Traveler, you can be my assistant. But you'd better make sure I'm the only person on your mind while you're handing around with me."
Traveller: Okay...
Ying'er,"So... Where is a good place for making sweet, sweet perfume?"
Traveller: Dadaupa Gorge!
Ying'er,"Where is that? Mondstadt? We're only making some perfume, there's not need to go to such ridiculous lengths."
Ying'er,Somewhere closer to home will do. Let's go for the kitchen at theWanmin Restaurant.
Traveller: How about the kitchen at Xiangling's place...
Ying'er,You meanWanmin Restaurant? Good choice! Let's go.
Ying'er,I've had a word withChef Mao. We can start work now.
Ying'er,Are you ready to please me?
Paimon: ...What did you say?
Ying'er,I meant make me proud. As my assistant. Obviously.
Ying'er,"While I'm setting up, you can go and fetch some water."
Ying'er,Have you fetched the water? ...No?
Ying'er,"Have a lookbehind Wanmin Restaurant. Chef Mao is a professional chef, he must keep a store of pure water."
Ying'er,This water will do nicely.
Ying'er,"Now, I need you to extract the Silk Flower essence using a crafting bench."
Ying'er,"Perfume-making uses an altogether different technique from alchemy. Here, let me teach you. Very carefully, take hold of the mortar and pestle... Gently does it..."
Ying'er,You need to keep your wrist firm so your hand doesn't slip...
Ying'er,"Now, use your strong hand to stir it with a persistent rhythm... Keep going until the juices start to come out..."
Traveller: "Don't worry, I know what I'm doing."
Traveller: "Okay, okay, I get it..."
Ying'er,Ooh... You're a natural! Like a fish to water.
Ying'er,"Now, take these and try it out on your own using a nearbycrafting bench."
Ying'er,"Don't forget to do all three. They look visually identical during the essence extraction process, but I will put them into separate containers when the perfume is ready."
Ying'er,"Well, aren't you going to try it out? Has the crafting bench broken?"
Ying'er,Or would you prefer some... hands-on guidance for your first time...?
Ying'er,"Wow, this is some exquisite Silk Flower Essence. Onto the next stage, the most important one of all..."
Ying'er,The essence is placed into water and simmered over low heat until most of the water has boiled off.
Ying'er,"You must take care to control the heat during this process. If the temperature goes too high, it will affect the scent."
Ying'er,"So please, focus on controlling the heat. This is the final step."
Ying'er,"Don't waste a drop of that essence, now. We want all of it in there."
Ying'er,"All three perfumes are ready. And you, my friend, were a wonderful assistant."
Ying'er,A testament to the lengths you will go for romance... It's so rare to see nowadays.
Traveller: "I told you, it's not like that..."
Traveller: I was thinking of you the whole time.
Ying'er,"Wow, you actually remembered my throwaway comment..."
Ying'er,"Y'know, you're cuter than people give you credit for. If I didn't have my guard up, I can see how easily one could be taken in..."
Ying'er,Anyway... Shall I give you a brief overview of each scent? It might just help you match the right scent to the right occasion...
Paimon: Paimon: wants to hear this!
Ying'er,"This first one is sweet as candy, straight out of a fairy tale... Younger women will love it."
Ying'er,The second one is for those with refined tastes... The first choice for daughters of high society.
Ying'er,"Finally, the third one has a soft by lingering scent, like a mist that captures the last light of dusk. Mature women adore this one."
Ying'er,"All clear? Don't get them mixed up now, you'll ruin the mood..."
Traveller: I... I think I got it...
Ying'er,"Good. Be sure to come visit if you ever need help with anything, okay?"
Ying'er,I'll leave you with some parting words
Ying'er,One who tries to sail three boats simultaneously should be careful not to go overboard.
Traveller: ...
Ying'er,"Heh. Come and hang out with me at Scent of Spring sometime, okay?"
Paimon: Let's take these three perfumes over to theStatue of the Seven. Mr. Zhongli:'s probably been waiting for a while.
Paimon: "We've brought the perfumes, Mr. Zhongli:!"
Paimon: Did we take too long? You were just staring up at the statue...
Zhongli: "Oh, you're back. Don't worry, I haven't waited long."
Zhongli: "Compared to the watch that Rex Lapis' statues have kept over Liyue, this was but a brief moment."
Paimon: "Haha, well, how can a person compete with a statue?"
Zhongli: "That is true. Well, have you brought the perfumes?"
Paimon: Three sets and not one less!
Zhongli: Thank you both. Let us offer them up.
Traveller: Offer Golden House Maiden
Paimon: "This is the first kind of perfume. Ms. Ying'er said that it's sweet as a dream, and it's liked by younger ladies."
Traveller: Offer Valley Weaver
Paimon: "This is the second kind. It's got an elegant smell, and the daughters of high society love it!"
Traveller: Offer Fate's Yearning
Paimon: "The third kind has a gentle but lingering fragrance, something something like the dusk mist, and it's a favorite of mature ladies."
Paimon: Oh... what was that?
Traveller: Looks like Rex Lapis really likes this one.
Traveller: I guess the final answer is number three.
Paimon: "That's the one older ladies like, right?"
Paimon: Does that mean that Rex Lapis is actually an older lady?
Zhongli: "Haha, perhaps, perhaps."
Zhongli: Rex Lapis has taken on countless forms. Perhaps that really was one of them.
Paimon: "What a shame, we only got to see the giant dragon form, and..."
Paimon: Let's hope the Qixing can catch the real killer.
Zhongli: We can leave that to the authorities. Let us focus on the fond farewell for Rex Lapis.
Traveller: (What ulterior motives do Childe: and the Qixing have...)
Traveller: "(Well, we do need to see the Exuvia...)"
Paimon: "So, we've finished another step in our preparations. What's next?"
Zhongli: "Next, I would like the two of you to help me borrow theCleansing Bell."
Paimon: Cleansing Bell?
Zhongli: "At present, a friend of mine named Madame Ping is the guardian of the Cleansing Bell. She lives near Yujing Terrace. If you ask her, she will know what to do."
Paimon: "Sure, but... aren't you going to come with us?"
Zhongli: "Ah, I have certain reasons why I cannot be there in person. Please do this for me."
Paimon: "Man, why's he got to be so secretive this time?"
Zhongli: "I apologize, but I won't be able to come with you this time."
Zhongli: "Once you've acquired the Cleansing Bell, meet me atYujing Terrace."
Madame Ping,All things must change...
Traveller: How do you do?
Madame Ping,"Mm? Youngster, are you here to admire the flowers?"
Madame Ping,But it's a shame. TheseGlaze Lilieshave almost all wilted...
Traveller: Are you alright?
Madame Ping,"It's nothing, it's nothing. I just thought it a great shame that so many of these Glaze Lilies have wilted."
Paimon: What happened to them?
Madame Ping,"Back in my day, people said that Glaze Lilies can read human hearts."
Madame Ping,"If they heard beautiful sounds like laughter and singing, they would also bloom joyfully."
Madame Ping,"But if they heard too much wild gossip or slander, they would quickly wither away."
Paimon: ...So that means these flowers feel what's happening inLiyue.
Madame Ping,"Yes, the rumors ofRex Lapis' death are no small matter. They are everywhere."
Madame Ping,"Some say it was aFatuiplot. Others say that theQixingmade it all up, and still others think that That Which Lies in the Deep is breaking free."
Madame Ping,This harbor is like a mountain of dry tinder. One spark and the fire will consume us all.
Madame Ping,"...Well, I shall say no more. This old woman's grown too old and naggy... Did you have something to say, youngster?"
Traveller: We'd like to borrow the Cleansing Bell.
Madame Ping,"Ah, that old trinket... I remember it being here with me, but I've grown old. I can't quite recall where it is exactly."
Madame Ping,"An old friend of mine used to wear it on his person, back when I was young..."
Madame Ping,He saw me gazing at it often and gave it to me.
Madame Ping,"But he told me then that if someone should come to borrow that bell, I should not be loath to part with it."
Traveller: We'd like to borrow something from you...
Madame Ping,"Borrow something? ...Oh, you've come to borrow the Cleansing Bell, yes?"
Madame Ping,"Apart from that, I don't have anything of value that you youngsters might want."
Madame Ping,"But it was not originally mine, either. That trinket used to belong to a friend of mine."
Madame Ping,"I was a vain beauty when I was young, and I would pester him for that bell all the time."
Madame Ping,"He could not dissuade me, and so he gave it to me. But he said that if someone should come to borrow it, I must not be loath to give it away."
Madame Ping,"It has been many years, and who knows how many times someone has come to borrow this bell."
Madame Ping,"Still, though I can't recall when it started, it's been a long time since anyone has come to borrow it."
Madame Ping,"Ah, these old bones are so slow to look for things. I doubt you can wait that long..."
Traveller: We can look for it ourselves.
Paimon: "That's right granny. We'll follow you back home, and search for it ourselves!"
Paimon: "And... Um, we can help with chores if you have any too!"
Traveller: I'm aKnights of Favonius-certified lost property finder!
Paimon: What a weird thing to be proud of...
Madame Ping,"Alright, children, there is no need to worry. I didn't place the bell very far away."
Paimon: "Eh? Do you live near here, granny? Whoa, but this is Yujing Terrace. It's gotta be expensive!"
Madame Ping,"Haha, an old lady like me can't afford to buy a place in this city. See this ceramic teapot? My entire household is in here."
Paimon: ...How does that work?
Traveller: It contains your house keys?
Traveller: The bell is all you own?
Paimon: "Hey, that's rude!"
Paimon: "...And even if it was like that, it must be a very expensive bell, right granny?"
Traveller: "In you go, Paimon:."
Paimon: What!? There's no way Paimon: would fit in there!
Paimon: "And why do you need Paimon: to go in, anyway? Can't you just lift the lid and look inside?"
Madame Ping,"Hohoho, youngsters. I simply mean that the bell is somewhere inside this teapot, and you are quite welcome to borrow it — if you can find it."
Paimon: "This granny's so weird, what does she mean her whole household is in here. Is she playing with us?"
Madame Ping,"Aren't you youngsters in a hurry to find that bell? Hop to it, then."
Madame Ping,But be careful. I haven't cleaned this place up in a long time.
Madame Ping,"If you were to get dirt on your beautiful clothes, it would take some work to clean up."
Paimon: Ehh? Where are we? What... just happened?
Madame Ping,"Youngsters, this is where this old woman keeps all her things. Quickly now, go fetch that bell."
Paimon: Whoa! That sounds like granny's voice. So... this is her teapot?
Paimon: What's going on...
Madame Ping,"Oh dear, so manycobwebs. It seems I really haven't cleaned it in a long while."
Madame Ping,"Sorry to trouble you, children. Please help an old lady clean up."
Paimon: Did you notice? Thecobwebswere made of elemental energy.
Paimon: How long has it been since granny last swept this place?
Paimon: "You know... with such a special teapot, and the Cleansing Bell..."
Paimon: Do you think this old granny could also be anadeptus?
Paimon: Paimon:'s more and more convinced that she's an adeptus.
Paimon: But don't they all live inJueyun Karst?
Paimon: Why would she stay in the city?
Paimon: "Um, how many levels does this teapot have?"
Paimon: It would be nice if we had one of these too.
Paimon: "Or at least, we wouldn't have to camp outside..."
Madame Ping,"Oh, you've found it? Youngsters are so quick on their feet."
Madame Ping,"Now, let me see... How did this opening work again? Oh dear..."
Madame Ping,"Alright, that'll do. Come on out now, children."
Madame Ping,"Ho-ho, in and out in no time... You youngsters really are quick."
Traveller: "Are you an adeptus, ma'am?"
Madame Ping,An adeptus... I haven't heard anyone say those words in earnest for a long time.
Madame Ping,"As to whether I am one or not, child, surely you already understand?"
Traveller: Are you one of the Liyue Qixing?
Madame Ping,The Qixing... Those children stopped letting my friends and I into their counsel long ago.
Madame Ping,"Still, they've done well recently. We old folks are content to be idle."
Traveller: Are you with the Fatui?
Madame Ping,"The Fatui? Hah! Child, what goes on in that mind of yours, I wonder?"
Madame Ping,I'm far too old to be quibbling with them.
Madame Ping,"But if they overreach themselves, I will do what I must."
Paimon: "Ugh... Paimon: kinda knows what you mean, but is also kinda confused. Are you really giving us the bell just like that Granny?"
Paimon: "Don't you think it's weird? Something's just happened to Rex Lapis, and then we come running up asking for it..."
Madame Ping,"Oh, don't be silly. Liyue Harbor has been through a great deal in its history. In that time, it has seen the departure of countless adepti."
Madame Ping,"But no matter what, we have always performed the Rite of Parting first before any other matters."
Madame Ping,"To cry ""catch the murderer!"" at the top of one's lungs, but ignore the Rite of Parting... That, to me, is what is wrong-headed."
Madame Ping,"Now that you have come to borrow the bell, I guess that perhaps an old friend of mine has finally decided to take matters into their own hands."
Madame Ping,"So, why would I be unwilling to lend you the bell?"
Traveller: What if your friend doesn't return it?
Madame Ping,"Oh? Well, if it came to that... Haha, they would find a certain old lady knocking at their door."
Madame Ping,"We haven't met in a while anyway, it would be nice to share a drink and chat."
Traveller: Can I keep it?
Paimon: Hey! It belongs to granny! We're supposed to return what we borrow!
Madame Ping,"Let you keep it? Haha, you really are a frank child. If you want it, you can keep it."
Madame Ping,"But this bell gets homesick sometimes. Who knows, it might find its way back into these old hands..."
Madame Ping,"Well, you must have things to do. Since you have the bell, you should return."
Madame Ping,"Oh, and, do tell the person who sent you..."
Madame Ping,"...that if they have time, they can come over for tea. I don't have much to offer, but you can always count on an old lady for a pot of tea."
Paimon: "We will! Thanks, granny!"
Madame Ping,It seems my old friends just can't stand idly by anymore.
Madame Ping,Let's just hope nothing messy comes of this.
Zhongli: "Indeed, this is the Cleansing Bell. Hmm, it's in good condition."
Zhongli: Let's place the perfume we've prepared inside.
Traveller: Do you know Madame Ping?
Zhongli: "Of course. How would I know that the bell was with her, otherwise?"
Traveller: Are you also an adeptus?
Zhongli: An adeptus...
Paimon: "That's suspicious! But if you don't want to talk about it, we won't pry."
Paimon: "Oh, yes! That old granny asked us to tell you something."
Paimon: """If you have the time, you can come over for tea. I don't have much to offer, but you can always count on an old lady for a pot of tea."""
Zhongli: "Ha, that tone does not suit you. Still, her tea pot is indeed very good. There are none better for brewing tea."
Zhongli: "When a suitable time arrives, I'll bring a spot of fine tea and pay her a visit."
Paimon: "So, what's the next step in our preparations?"
Zhongli: "Hmm... Next, we need to purchasekites."
Paimon: Ooh! Paimon: loves kites! Are you taking us kite flying? Is this our break time?
Zhongli: "Haha, no, no. Kites are children's toys, yes, but they also play various symbolic roles in Liyue's rituals."
Zhongli: I will explain it to you. But our next course of action should probably be to purchase the kites first.
Paimon: "Oh, sure... curiouser and curiouser..."
Granny Shan,"Ah, sir, you're here. The seven kites you asked for have been made to order. Would you like to take them now?"
Zhongli: Yes. Thank you.
Granny Shan,"It's rare to see customers who want to buy this type of kite nowadays. In the early days, we used to get orders from people of all walks of life..."
Paimon: "Well, this is Mr. Zhongli: from theWangsheng Funeral Parlor, so he's probably well-versed in all these walks of life."
Paimon: We've talked about a whole bunch of things while traveling with him...
Traveller: "Fashion, economics, jewelry and jade pottery..."
Traveller: "Tea, perfumes, flora and fauna..."
Paimon: "He seems to know Liyue's favorite topics, money and government, really well, but he likes talking about less useful topics instead."
Zhongli: "Well, that's because I prefer to share fun things with you."
Granny Shan,"Children's toys are very fun things, that's for sure. I enjoy watching the children at play as much as anyone else. But there is more to it than that."
Granny Shan,"Finely crafted toys are well-loved by children. But this craft itself has been honed over thousands of years, and there is meaning behind that."
Granny Shan,"I have made kites in Liyue for forty years, and I am intimately familiar with the forms passed down from my ancestors. The meaning of these seven kites is far from banal."
Zhongli: Indeed. These are decorations used in the Rite of Parting. The seven kites representThe Seven.
Granny Shan,I took the liberty of coloring outside the lines when doing the insignia of theAnemo Archon.
Granny Shan,"As for the kite that honors theGeo Archon, one must follow the contract given right down to the last letter. These patterns are ancient, and you can also find them in theGolden House."
Paimon: "Ah, Paimon:'s heard that name before—"
Traveller: Shh!
Traveller: "Paimon:  stop talking..."
Paimon: Huh?
Zhongli: The design of this kite displays a firm grasp on the cyclicality and eternity so dear to the Electro Archon.
Zhongli: "These markings of tree and leaf pay due honor to wisdom and the passage of time. All this, on a single kite — truly astonishing."
Zhongli: "Justice flows across the surface of the waters, war rages like a flame, as does that which theCryo Archononce... yes, these details are masterfully done."
Granny Shan,"Hehehe, the compliments of a learned man truly are pleasant."
Zhongli: "Well then, Granny Shan, I shall take these back with me. As for the payment..."
Traveller: Uh-oh!
Traveller: """As for the payment,"" he says!"
Childe:,"Well, allow me."
Paimon: "Hey, it's Childe:!"
Traveller: Did you arrange to meet here?
Childe:,"Haha. No, I was merely passing through."
Traveller: You ambushed us!
Childe:,"Haha, no way. I was just passing through!"
Childe:,"I see Mr. Zhongli:'s the same as ever. When paying— Well, when getting others to pay for him, he neither looks at the price tag nor his wallet."
Childe:,"He knows a great deal about money, and about the trials of the common man. He just doesn't consider poverty to be something that could ever happen to him."
Childe:,Or perhaps you could say that he cannot imagine himself lacking money.
Paimon: How has he not died of hunger yet?
Zhongli: "...Childe:, you are as fond of jokes as ever. Well then, since we've purchased our kites without incident, there's no need to take a break before moving to the next step in our preparations."
Zhongli: The Rite of Parting requires helping hands as well as materials. We should be able to find some people near the harbor.
Childe:,"Oh, by the way, Traveler, take this bag of money. You probably won't want to let Zhongli: do the bargaining, if you know what I mean."
Childe:,Hmm... It seems I missed out on some interesting information.
Childe:,...I suppose I'll just have to find a more opportune moment next time.
Tic,"Oh? Help? Sure! I, Tic, always put in one hundred percent effort into everything I do! Of course, there'll be a premium if you want me to give a hundred and ten percent."
Tic,So what's the job?
Zhongli: "Let me see... we are still missing some wooden implements over at Yujing Terrace. They aren't uncommon objects, so I didn't make any special preparations for them."
Traveller: "Fetch me 50 tree branches, and 20 stacks of timber!"
Tic,No problem. That'll betwenty thousand Morafor a single trip. How does that sound?
Zhongli: Done.
Traveller: "Wait, let's talk prices."
Tic,Let me think... Deal. This price is reasonable. I'll hop right to it.
Tic,"Huh? No, no... How about a bit more. This amount isn't worth going out of the way to make only one trip."
Tic,"Oh, come on, that's too little."
Tic,"You're mad! And to think I was so willing to bargain, too! Twenty thousand Mora, and not one Mora less! If not, the deal's off!"
Paimon: "Hey, don't get mad... Ah, guess we have no choice but to pay in full, (Traveler)."
Traveller: We have a deal.
Tic,"Oh? You're a straight shooter, huh? We have a deal."
Traveller: "Ugh, we brought too little money..."
Tic,This is all you've got? Then no can do.
Traveller: Please go look for someone named Childe:...
Tic,"Childe:? No, no, no. He's putting up the money? Still, no. Wouldn't that mean that I have to make two trips rather than one?"
Tic,"How about this. Let's make a trade. I'll take what you're offering right now, and..."
Tic,"Get me a singleQingxin flower, and I'll consider that payment for a detour to find this Childe: fellow. How does that sound?"
Paimon: Guess we've got no choice.
Tic,Have you brought the goods?
Tic,"Hey, that's pretty good. These things are pretty rare, and I have no idea where I'd find them."
Tic,"With this Qingxin flower, I should be able to pacify my daughter tonight. I'll make sure the work is done before I return home."
Tac,"A full day of odd jobs at Yujing Terrace? Hmm... No problem.Twenty-five thousandper day. A fair trade, yes?"
Paimon: "Whoa, that's expensive. Um, could you give us a bit of a discount on account of the whole Hero of Mondstadt thing?"
Tac,Hero of Mondstadt? Never heard of them.
Zhongli: "Well, you may never have heard of this hero, but it seems you've heard of Mora nevertheless, thus I will simply pay the whole sum."
Traveller: "Wait, let's talk prices."
Tac,This price'll do. No loss to me for a day's work.
Tac,This... is too little. I'd consider it if it was a bit higher.
Tac,That's too little. Hardly a fair price.
Tac,"That's enough! I'm done! Twenty-five thousand, and not a Mora less! Take it or leave it!"
Paimon: "Hey, don't get mad... Ah, guess we have no choice but to pay in full, (Traveler)."
Traveller: We'll pay in full.
Tac,"Hey, that's a good price. Anyone would work for this much Mora."
Traveller: "Ugh, we brought too little money..."
Tac,This is all you've got? Then no can do.
Traveller: Please go look for someone named Childe:...
Tac,"Childe:? No, no, no. He's putting up the money? Still, no. Wouldn't that mean that I have to make two trips rather than one?"
Tac,"How about this. Let's make a trade. I'll take what you're offering right now, and..."
Tac,"Find me a high-qualityLotus Head. I'll consider that my detour fee paid, and go find what's-his-face Childe:. How about it?"
Paimon: Guess we've got no choice.
Tac,Have you brought the goods?
Tac,"Oh, that looks good. I'm hitting the kitchen tonight, and it's not often that I get to use such fresh and high-end ingredients..."
Tac,"Well, I'll head to Yujing Terrace in a moment. I won't be late!"
Tac,"Oh, boss, it's you. I actually met thatChilde:guy while I was working. He's a pretty good sort."
Tac,"He gave me enough pay to stick around for several more days, all the way until we're done with that ritual of yours."
Tac,"Honestly, he's way easier with his money than you are."
Toe,"Hiring help? Sure, but let me just say first that I'm a reserve member of theAdventurers' Guild. I take adventuring commissions, but I don't do anything clerical."
Zhongli: Adventure... venturing into the mountains to capture a few crystalflies seems adventurous enough.
Traveller: "Brave adventurer, we have need of 5 crystalflies."
Toe,"Eh? That's not hard, almost a bit too easy for a reserve adventurer... Eh, never mind. I'll only charge youfifteen thousand Mora. What say you?"
Zhongli: A most fair price.
Traveller: "No, let's negotiate..."
Toe,"Five Geo Crystalflies... Yes, I do think it's worth about this much. I'll do it."
Toe,"Let's see... No. Go higher, or I'm not doing this."
Toe,"That won't do, I'm afraid. It's too little! Too little, I say!"
Toe,"Fifteen thousand Mora, not one less! That's the lowest I'm going, end of story!"
Paimon: "Hey, don't get mad... Ah, guess we have no choice but to pay in full, (Traveler)."
Traveller: "Yes, a fair price."
Toe,A pleasure doing business with you.
Traveller: "Ugh, we brought too little money..."
Toe,This is all you've got? Then no can do.
Traveller: Please go look for someone named Childe:...
Toe,"Childe:? No, no, no. He's putting up the money? Still, no. Wouldn't that mean that I have to make two trips rather than one?"
Toe,"How about this. Let's make a trade. I'll take what you're offering right now, and..."
Toe,Get me a piece ofiron ore. I'll take that as payment to go see that Childe: person. What do you think?
Paimon: Guess we've got no choice...
Toe,Have you brought the goods?
Toe,"Mm, this is good ore. As an adventurer, one must have a trusty weapon by one's side..."
Toe,"This'll work. Once I've finished, I will go and claim my payment."
Childe:,All finished then? Splendid. Any leftover cash is yours to keep — a favor for the Fatui should never go unrewarded.
Paimon: You think you can buy us off with some loose change? No way! Paimon: demands to know when the next payment is coming!
Childe:,"Haha. Well, how does this sound :  You give me the information I need, and maybe I'll leave theNorthland Bank's vaults open and unattended for half an hour…"
Paimon: What info do you need!?
Traveller: No!
Paimon: "Huh? (Traveler), does that mean you know what he's after?"
Traveller: What else could the Fatui want?
Traveller: Are you forgetting what happened in Mondstadt?
Paimon: "Yikes! You're right,Signora..."
Childe:,...
Childe:,"You both need to calm down... I don't know what's gotten into you, (Traveler)."
Childe:,Just what is this about? The atmosphere got so tense all of a sudden.
Paimon: Ehh...
Zhongli: "Next, we need some Everlasting Incense. For this, we need to go toBubu Pharmacy, the finest pharmacy in all of—"
Zhongli: Is... everything okay?
Childe:,Everything is fine. I was just informing them that they need not return the surplus Mora.
Childe:,"Now if you'll excuse me, I must be going."
Paimon: Paimon: definitely felt like Childe: wasn't happy with us just now...
Paimon: "Huh, the reception is deserted. And it seems kinda spooky in here..."
Paimon: Hello? Is anybody there?
Qiqi:,Welcome to Bubu Pharmacy.
Paimon: ...
Paimon: D-did you hear that? Wh-Where did it come from?
Zhongli: "The reception, it seems."
Paimon: "(Traveler), how about... you go check it out, and... Paimon: will bring up the rear."
